Number,Name,Province,City,Waterbody,StartYear,CompleteYear,CostBillion,AreaSqkm,Population,Status,Use,Image,Xcoord,Ycoord,Residential,Institutional,Commercial,Office,Industrial,Logistics,Recreational,Ecological,Agricultural,AY1,AY2,AY3
1,Changxing Lingang District,Liaoning,Dalian,Bohai Bay,2005,2025,90,599,"700,000",In Progress,"Petrochemical, Manufacturing, Construction, Storage",1,39.6401413,121.3637034,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2005,2014,2015
2,Caofeidian Industrial Zone,Hebei,Tangshan,Bohai Bay,2003,2020,300,310,"1,200,000",In Progress,"Iron&Steel, Petrochemical, Equipment, Ports",2,39.053965,118.469391,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2008,2010,2015
3,Sino-Singapore Tianjin Eco-city,Tianjin,Tianjin,Bohai Bay,2010,2020,50,21,"350,000",In Progress,"Bio-tech, Information, Film&Comics, Environmental, Protection Zones",3,39.105826,117.735529,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2005,2010,2015
4,Longkou New Islands,Shandong,Longkou,Bohai,2010,2020,23,44,"200,000",In Progress,"High-grade Industry, Residential, Recreation, Eco-zone, Innovation",4,37.590295,120.263214,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2009,2012,2015
5,Xuwei New Area,Jiangsu,Lianyungang,Yellow Sea,2009,2020,154,467,"450,000",In Progress,"Petrochemical, Port Logistics, Manufacturing, Metal Processing, Clean Energy",5,34.6360263,119.5062395,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2005,2009,2014
6,Dongtai Tiaozini,Jiangsu,Yancheng,"Yellow Sea, East China Sea",2010,2020,4.5,266.6,0,In Progress,"Agriculture, Environmental Protection",6,32.81267,121.008911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2000,2012,2015
7,Chongming Dongtan Eco-city,Shanghai,Shanghai,Yangtze River Delta,2001,2006,10,85,"80,000",Failed,"Education, Residential, Recreation, Eco-zone",7,31.489578,121.904297,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2005,2009,2015
8,Taihu New Town,Jiangsu,Wuxi,Taihu Lake,2007,2017,100,150,"1,000,000",In Progress,"Digital Industry, Tourism, Commercial, Recreation, Eco-zone",8,31.543678,120.2822121,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2004,2010,2015
9,Nanhui New Town,Shanhai,Shanghai,Yangtze River Delta,2003,2020,27,315.6,"800,000",In Progress,"Administration, Office, Residential, Commercial, Tourism, Technology&Innovation",9,30.856663,121.846575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2006,2009,2014
10,Binhai New Town,Zhejiang,Taizhou,East China Sea,2005,2030,30,32,"210,000",In Progress,"Manufacturing, Residential, Recreation",10,28.45899,121.527104,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2006,2012,2015
11,Yuhuan New Town,Zhejiang,Taizhou,East China Sea,1998,2020,53.5,54,,In Progress,"Education, Residential, Recreation, Eco-zone",11,28.13593,121.231805,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2010,2013,2015
12,Shuangyu Island,Fujian,Zhangzhou,Xiamen Bay,2010,2016,3.5,2.2,,Completed,"Tourism, Residential, Recreation, Arts",12,24.374611,118.071888,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2010,2011,2015
13,Pilot Zone for Overseas Chinese Economic and Cultural Cooperation,Guangdong,Shantou,South China Sea,2014,2030,29,36,"1,000,000",In Progress,"Office, Logistics, Toursim, Recreation, Cultural Services, Residential",13,23.344778,116.772995,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2008,2012,2015
14,Overseas Chinese Town,Guangdong,Shenzhen,Pearl River Delta,1986,2025,100,4.5,,In Progress,"Tourism, Industrial, Residential, Commercial",14,22.535169,113.983612,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2005,2010,2015
15,Shenzhen Bay Park,Guangdong,Shenzhen,Pearl River Delta,1999,2000,1,1,0,Completed,"Recreation, Commercial, Residential, Water Treatment",15,22.4865358,113.9444547,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2004,2009,2015
16,Shekou Industrial Zone,Guangdong,Shenzhen,Pearl River Delta,1979,2003,0.01,11,"62,000",Completed,"Residential, Oil Production, Logistics, Technology",16,22.4853998,113.9168699,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1990,2004,2015
17,Qianhai Modern Service Industrial Cooperation Zone,Guangdong,Shenzhen,Pearl River Delta,2004,2020,300,15,"300,000",In Progress,"Manufacturing, Services, Ports, Office, Residential, Commercial",17,22.526601,113.900006,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2004,2009,2015
18,Hong Kong - Zhuhai - Macau Bridge Islands,Guangdong,"Hong Kong, Zhuhai, Macau",Pearl River Delta,2009,2017,71,2,0,In Progress,"Customs, Recreation, Parking, Management",18,22.27766,113.818359,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2003,2013,2014
19,Macau New Urban Zone,Macau,Macau,Pearl River Delta,2010,2017,,4.6,"350,000",In Progress,"Residential, Commercial, Cultural Services, Toursim, Industrial, Recreation",19,22.14082,113.5631,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2006,2010,2015
20,South Sea Pearl Eco-island,Hainan,Haikou,South China Sea,2009,2030,8.5,2,"39,000",In Progress,"International Tourism, Recreation",20,20.044002,110.198293,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2010,2012,2015
21,Phoenix Island,Hainan,Sanya,South China Sea,2003,2016,10,0.37,,In Progress,"International Tourism, Recreation, Residential, Cruise Terminals",21,18.246719,109.501282,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2002,2003,2014